0,0,Two Copy and Paste Functions,0
1,0, D Stereo preview on Hololens Emulator,0
2,0,Support To New Applications New Rising list ,0
3,0,Allow WebView to access files in the Local folder,0
4,0,Ubuntu linux etc etc fusion,0
5,0,TextBox focus bug when inside ScrollViewer,0
6,0,UWP framework for Geolocation and Marker based Augmented Reality applications in replacement of GART and SLART toolkits ,0
7,0,Make System Diagnostics Trace Available For Windows Store Apps,0
8,0,Add Markup Extensions to and Improve WinRT Xaml System System Xaml Parity ,0
9,0,The ability to read the entire notification in the notification center without the need to open the application,0
10,0,See and request submission credits from the dev center,0
11,0,Access to Settings Applets,0
12,0,windowsphone coordinate system of Mars controls mapcontrol,0
13,0,Please make lock screen better in WP ,0
14,0,Add helper for binding to and from Observables,0
15,0,Drag and drop for digital whiteboard,0
16,0,Need a DirectManipulationCompleting event for ScrollViewer,0
17,0,Allow UWP apps without NET Native,0
18,0,ScatterView control to support the SurfaceHub multiuser development,0
19,0,Support Vulkan GPyou API on UWP,0
20,0,Allow to change the window size in LaunchUriForResultsAsync,0
21,0,DataPackage SetDataProvider does not delay render text on the Clipboard,0
22,0,Add functionality to snooze,0
23,0,when pinning secondary tile on startscreen let us also create a subgroup too ,0
24,0,computer emulator on Windows,0
25,0,Access Invoke Point of Service POS peripheral devices through background tasks,0
26,0,in perfmon show minimum average and maximum in the list view,0
27,0,Provide the possibility of writing one is own background audio player or at least gapless playback in existing audio player,0
28,0,Merge HTML tags with XAML tags together,0
29,0,keyboard color options for a consistent and unique experience throughout the app ,0
30,0,provide granular access to install apps from windows store,0
31,0,Review an app without leaving it,0
32,0,Allow Developers to ' roll back ' to a previous update without re certification,0
33,0,Clarify the ' The VAT ID we have doesnt appear to work ' message,0
34,0,Fix media pipeline in Windows Phone ,0
35,0,StatusBar is error prone,0
36,0,PointerPressed event only fired on right click,0
37,0,its trash and it doesnt work please fix it,0
38,0,Let us delete addons in the partner center,0
39,0,Improved Reports More information Uninstall rate Usage etc ,0
40,0,Users with access rights role of release manager,0
41,0,Add nearest neighbor scaling option for Image Control similar to RenderOptions BitmapScalingMode in WPF ,0
42,0,Enable collection of custom ETW events to etl files,0
43,0,Make it harder to decompile sources from appx packages,0
44,0,Create option to allow Periodic Agents to run even if app has not been opened for x days,0
45,0,Have a AI helper available like the old windows gateway computer,0
46,0,OnlineIdAuthenticator with CredentialPromptType RetypeCredentials allows empty password,0
47,0,Add controls for Paging in UWP using Datagrid,0
48,0,By helping the testers better understand the criteria ,0
49,0,Fix the title text font weight on the default page templates ,0
50,0,Use beta apps also on Windows,0
51,0,Add an option to ' Create dump file ' of running process,0
52,0,Mxplayer for playimg videos in hd,0
53,0,Please fix the UWP WebView File Upload on Windows ,0
54,0,Delete Ink by point control,0
55,0,we keep getting resuming or loading screen for much longer when switching from one app to another dusing multi tasking please improve the speed,0
56,0,Add an API to retrieve all files from a folder that matches the speed of Win call,0
57,0,Add dragging event for MapIcon ,0
58,0,Estimated payout of reserved total,0
59,0,Get audio frequency data,0
60,0,Apphub Allow deletion of push certificates,0
